,target,ids,date,flag,user,text,type,traget
56533,0,1685435447,Sun May 03 00:22:50 PDT 2009,NO_QUERY,SecretAznMan86,Naza is sooooooooooooo messed up right now its funny yet sad at the same time ,train,
109359,0,1824537941,Sun May 17 01:49:03 PDT 2009,NO_QUERY,iwulf,Finished editing new character 'Ace' for @Incarna Riverdans Campaign for tomorrow. not enough CP to keep Danger Sense ,train,
74998,0,1695002272,Mon May 04 04:53:21 PDT 2009,NO_QUERY,tisaXO,Boohoo to my teams (miami and chicago) being eliminated over the weekend  BUT that tko by pacman was insaaaane!,train,
766357,0,2299860107,Tue Jun 23 13:26:09 PDT 2009,NO_QUERY,mtnmissy,"Oh man, @CountingCrows is touring with Michael Franti &amp; Spearhead this summer... and I don't see any CO dates ",train,
329566,0,2011518240,Tue Jun 02 19:08:44 PDT 2009,NO_QUERY,Carley_StOnge,"@Jonasbrothers WHY DO YOU DO THEM THURSDAY?!please do them on a different day next time, i'm busy every thursday,meaning i miss them ",train,
186608,0,1968378515,Fri May 29 21:18:50 PDT 2009,NO_QUERY,milestrahan,"Sincerely wishes he could be at THE ROOM at the Village East tonight, but schedule wouldn't permit. ",train,
380099,0,2052491338,Sat Jun 06 00:54:54 PDT 2009,NO_QUERY,eppie_log,"I like books, as it's made of paper and ink, but space problems in my room make me crave for Amazon Kindle. ",train,
575218,0,2210964017,Wed Jun 17 12:15:10 PDT 2009,NO_QUERY,Rachel_Hardy,http://twitpic.com/7n605 - ME! i look like such a dork.. ,train,
669224,0,2246186993,Fri Jun 19 17:13:16 PDT 2009,NO_QUERY,His4EvaTeAmoSam,still missin da babi... hope he calls me...  i miss him... te amo sam tu es mi unico amor,train,
348922,0,2016963566,Wed Jun 03 07:38:33 PDT 2009,NO_QUERY,stefaniegrace,@cj_keating Thank you! I'm applying right left and centre - though the problem is that not many are paid!! ,train,
520140,0,2192003382,Tue Jun 16 06:20:43 PDT 2009,NO_QUERY,stylingbritt,That one ? They ask on the driving test about the hill... WTF is the answer?!? Lmao! I can't remember ,train,
685713,0,2250851653,Sat Jun 20 01:40:33 PDT 2009,NO_QUERY,ikabud11,where's my lifeline? ,train,
685256,0,2250727146,Sat Jun 20 01:18:44 PDT 2009,NO_QUERY,omqshissamber,Scared the only Heartbeat ill hear beating is my own. im scared of being alone. ,train,
185936,0,1968182691,Fri May 29 20:55:22 PDT 2009,NO_QUERY,bryangoodwin,@ashleyann66 I can't chat for some reason ,train,
373675,0,2051067151,Fri Jun 05 19:48:08 PDT 2009,NO_QUERY,pickachu2,Why do I still feel sick? ,train,
137971,0,1880450494,Fri May 22 01:17:10 PDT 2009,NO_QUERY,dragonessryo,can't figure out her icey ,train,
385690,0,2053656698,Sat Jun 06 05:17:26 PDT 2009,NO_QUERY,kirstydutoit,@hahaha well you not here to cook  what am i supposed to do ,train,
476886,0,2178010133,Mon Jun 15 07:03:31 PDT 2009,NO_QUERY,roxiijonas,So upset  lol,train,
